bank,rating,review,date,source
CBE,5,Nice,2024-08-27,Google Play
Dashen,1,Teribble need a lot of work to improve,2023-08-19,Google Play
CBE,5,Its nice app more easy to use it. It shown only Recent history transaction. Please all transaction history.To summarize my transaction with reason. And add traffic penality button. Generally its nice app,2021-11-13,Google Play
Dashen,4,nice application,2025-05-27,Google Play
CBE,5,Best,2023-07-25,Google Play
CBE,5,Maliif bakka jalqaba account bananne malee Hojiin egalchiisuun hin dandaamu?,2024-07-18,Google Play
CBE,1,it is like a childish app make it better the worst I have ever seen,2025-06-02,Google Play
CBE,5,Nice,2022-06-29,Google Play
CBE,4,An easy and very fast transactions compared to dailing *889#. I like this app.,2023-04-14,Google Play
Dashen,5,I am glad to customer with you .I have plan to use dube ale and amole.,2025-01-27,Google Play
CBE,5,It is very nice app.,2023-03-31,Google Play
CBE,4,አንድ ጊዜ ታዞ ሁለቴ ያስተላልፋል አረ አስተካክሉት,2022-03-29,Google Play
BOA,4,👍,2025-06-21,Google Play
CBE,1,If there was a lesser rating I'd have given it to this app! What's with all this service charges? With the amount they're charging for everything I'm afraid we'll be paying to even look in their direction.,2024-09-12,Google Play
BOA,5,giod,2025-07-30,Google Play
BOA,2,Good,2024-04-23,Google Play
CBE,1,App not down load why,2022-02-15,Google Play
CBE,5,It is good app but not have statment 1 week 1 month only 2 days and it is not order by time,2025-01-08,Google Play
CBE,4,Nice,2025-01-04,Google Play
CBE,5,It very important app,2025-01-25,Google Play
CBE,3,"Something is wrong with the new update,it keep closing itself and i couldn't made an important transaction.",2025-01-30,Google Play
CBE,1,Poor. Sent my money several time also when refresh i can see it statments and it deduct from my acount.,2023-12-10,Google Play
CBE,5,Good,2023-12-21,Google Play
CBE,5,I will use this app,2023-09-05,Google Play
CBE,5,good app.,2022-06-14,Google Play
CBE,1,Whos and what is authorization. Code? ?,2016-12-07,Google Play
CBE,5,Ok,2024-06-28,Google Play
CBE,5,Best of the best application for ever,2025-02-16,Google Play
CBE,5,BalanceDear Customer your Account 1********8778 has been debited with ETB 6000. Your Current Balance is ETB 14800000.1. Thank you for Banking with CBE!,2023-07-04,Google Play
CBE,5,Good,2022-06-17,Google Play
CBE,4,Excellent,2024-02-11,Google Play
BOA,5,Gooood app my dear,2024-08-10,Google Play
CBE,5,excellent app,2023-09-06,Google Play
BOA,4,Good,2024-10-25,Google Play
CBE,5,Good,2023-07-27,Google Play
CBE,5,Like app,2023-02-13,Google Play
CBE,1,It shows a limited number of transaction history. And it does show transactions history in the order of arrival,2024-11-04,Google Play
CBE,5,Very Good App,2021-06-06,Google Play
CBE,3,Very very limited service,2024-07-28,Google Play
CBE,5,Commercial Bank of Ethiopia Best Bank of Africa,2021-02-17,Google Play
CBE,5,Good app and easy to use,2024-03-15,Google Play
CBE,4,It is helpful!,2021-02-01,Google Play
CBE,5,"Great app,",2024-08-09,Google Play
CBE,5,Its the best app,2023-11-24,Google Play
CBE,1,Bad...very Bad..taboo .. Need an education,2021-06-27,Google Play
CBE,5,"I’ve noticed two key issues with your app: 1. Username Visibility: The app doesn’t display the username, making verification difficult. Please add this feature. 2. Transaction History: Transaction history gets deleted if the app is reinstalled. This data should remain accessible unless manually deleted by the user. A ""Load More"" option for older transactions would also be helpful. These issues have caused inconvenience. Fixing them would greatly improve the user experience. Thank you.",2024-12-01,Google Play
CBE,5,Very good .,2023-08-01,Google Play
CBE,5,good,2024-12-02,Google Play
CBE,4,Best of the best,2021-07-19,Google Play
CBE,5,good,2025-03-19,Google Play
CBE,5,Good,2024-07-18,Google Play
CBE,1,I used to do everything with it but now it says can't sync. I can not do anything with it now. I'm having difficulties. Please try to fix it,2022-02-12,Google Play
CBE,5,Bulchaa ibsa,2024-09-01,Google Play
BOA,5,Good,2024-05-06,Google Play
CBE,4,Tashoo damisee,2025-03-05,Google Play
CBE,5,good,2023-10-31,Google Play
CBE,4,Very nice app ግን አንዳንዴ በጣም ይንቀረፈፋል ማሻሻል አለባችሁ ፍጥነት ያስፈልጋል,2024-11-05,Google Play
CBE,2,"Was so nice, days ago. But since last week I couldn't transfer and use it, properly. Would you forwarded me any option, please ? Thank you!",2021-08-23,Google Play
BOA,5,Great service,2024-11-12,Google Play
CBE,4,Yadani Nagaro,2024-11-23,Google Play
Dashen,5,Special for me,2024-03-21,Google Play
CBE,5,Agec,2022-11-24,Google Play
CBE,5,It is very good application,2023-02-03,Google Play
CBE,4,"The best mobile banking in the world. I love it, thank you!!!! But try to have more servers, sometimes it is busy.",2024-10-21,Google Play
CBE,4,"Simple bug fix, would help if current exchange rate is displayed on the app.",2025-01-01,Google Play
CBE,5,This makes me to use the bank services easly,2017-06-14,Google Play
CBE,5,Good,2022-03-15,Google Play
